0	2	94	11
0	1	98	11
0	3	109	14
0	2	115	14
0	10	126	20
4	13	134	24
4	13	134	24
4	12	141	24
7	14	148	27
7	14	148	27
4	13	162	27
11	20	169	34
7	21	169	33
7	21	169	33
13	22	173	36
9	21	181	35
9	21	183	35
9	21	183	35
9	20	187	35
10	22	197	38
10	22	197	38
15	25	208	42
10	20	203	37
15	25	212	43
10	20	203	37
15	23	218	42
14	27	220	45
12	25	218	43
12	26	214	43
12	25	218	43
14	27	224	45
17	30	227	48
14	26	228	45
10	26	234	44
14	26	230	45
16	33	236	51
10	26	234	44
16	31	244	50
13	34	240	51
16	31	244	50
13	33	246	51
16	30	250	50
13	32	250	51
13	33	246	51
18	33	248	53
16	31	246	51
16	31	246	51
15	34	252	53
14	35	252	53
14	35	252	53
15	34	252	53
19	37	255	56
14	33	255	52
15	32	255	52
15	35	248	53
15	32	255	52
15	32	255	52
19	36	255	55
21	38	255	57
21	37	255	57
18	37	255	56
18	36	255	55
19	36	255	55
19	36	255	55
19	36	255	55
19	36	255	55
19	36	255	55
15	32	255	52
14	33	255	52
15	32	255	52
19	36	255	55
18	37	255	56
19	37	255	56
21	39	255	58
19	36	255	55
19	36	255	55
19	37	255	56
19	37	255	56
19	36	255	55
20	39	255	57
14	33	255	52
18	37	255	56
18	39	255	57
14	34	255	53
19	37	255	56
21	39	255	58
19	37	255	56
20	40	255	58
18	38	255	56
18	38	255	56
18	39	255	57
14	35	252	53
19	39	252	57
20	42	254	59
14	35	252	53
14	35	252	53
14	36	248	53
15	35	248	53
14	36	246	53
18	40	250	57
15	35	248	53
14	36	248	53
15	35	246	53
18	33	246	52
18	35	238	53
18	34	242	52
19	40	246	57
19	40	246	57
19	40	246	57
15	36	242	53
13	35	236	51
16	33	234	50
13	35	234	51
15	37	236	53
18	36	232	52
15	38	228	52
13	36	226	50
13	36	226	50
13	37	222	50
16	34	226	50
16	35	222	50
13	38	220	51
20	34	222	51
16	36	220	50
17	32	217	48
17	32	213	48
20	36	212	51
13	34	209	47
13	34	209	47
13	35	207	48
13	35	207	48
13	35	207	48
20	37	210	51
17	34	207	48
17	34	203	48
17	34	203	48
14	33	190	45
17	37	189	48
17	32	186	45
17	31	190	44
14	33	190	45
14	33	190	45
14	33	190	45
14	34	186	45
20	41	188	51
17	38	185	48
17	32	186	45
17	33	180	44
17	34	176	45
20	37	179	48
15	32	174	43
20	38	175	48
14	38	166	45
17	41	169	48
14	36	176	45
17	36	168	45
17	41	171	48
17	41	171	48
17	41	169	48
17	42	165	48
17	38	155	45
15	36	153	43
16	36	149	42
18	38	151	44
11	31	144	37
17	39	151	45
17	40	143	44
17	40	143	44
17	45	150	48
12	40	141	43
15	38	141	42
14	43	141	45
15	39	139	43
17	42	137	45
17	46	144	48
17	42	137	45
15	41	127	43
17	43	129	45
15	41	127	43
14	44	133	45
17	48	132	48
17	48	132	48
17	48	130	48
13	49	130	47
17	48	130	48
17	48	130	48
17	49	126	48
20	53	125	51
17	50	120	48
13	51	120	47
16	54	123	50
15	58	125	52
16	55	119	50
15	58	125	52
15	59	121	52
19	64	121	57
16	57	109	50
16	57	111	50
18	59	111	52
16	57	109	50
19	65	115	56
19	64	121	57
22	64	111	56
22	64	111	56
22	65	107	56
21	68	113	59
21	69	109	59
20	70	109	59
22	72	109	61
22	72	111	61
21	70	103	59
20	71	103	59
22	73	105	61
20	71	103	59
23	80	106	65
23	80	106	65
23	80	102	65
23	80	102	65
23	80	102	65
25	83	102	67
25	83	102	67
23	81	100	65
23	82	96	65
22	85	102	68
23	82	92	65
22	86	94	67
22	86	94	67
28	87	101	70
27	81	92	66
28	94	94	74
26	93	97	73
26	93	97	73
26	93	97	73
27	95	94	74
27	95	94	74
26	94	93	73
27	96	86	74
29	104	92	80
27	97	84	74
27	96	86	74
29	104	92	80
23	108	90	80
27	97	80	74
27	108	83	80
27	108	83	80
24	110	81	80
23	104	77	76
27	108	81	80
27	117	76	85
30	120	79	88
27	109	71	80
30	120	79	88
30	121	77	88
25	116	72	83
27	114	74	83
24	120	70	85
27	118	74	85
24	120	70	85
27	119	66	85
27	123	73	88
30	122	69	88
32	126	65	90
29	125	71	90
29	127	65	90
29	126	67	90
26	132	67	92
28	131	63	92
28	131	63	92
31	136	60	95
29	136	62	95
31	135	62	95
28	132	59	92
36	129	57	92
41	143	55	102
34	127	51	90
37	133	60	95
31	135	62	95
30	138	61	96
33	145	63	102
36	146	55	102
38	144	59	102
32	138	53	96
35	136	53	96
32	139	49	96
38	145	55	102
38	145	55	102
36	145	59	102
34	148	54	103
33	143	50	99
30	140	47	96
33	143	50	99
35	142	50	99
35	142	50	99
37	148	50	103
33	143	52	99
34	149	50	103
34	150	44	103
36	147	49	102
38	146	49	102
35	143	46	99
38	142	40	99
41	153	48	107
36	148	43	102
36	148	43	102
38	147	45	102
36	148	43	102
35	139	37	96
36	149	39	102
35	156	48	107
35	157	44	107
33	150	39	102
41	155	40	107
38	155	44	107
35	158	40	107
36	149	39	102
36	149	39	102
36	149	39	102
36	149	39	102
35	144	40	99
41	146	39	102
41	153	48	107
30	142	37	96
35	140	33	96
41	155	40	107
38	148	39	102
36	149	39	102
41	155	40	107
37	151	36	103
36	150	35	102
37	152	32	103
38	149	35	102
35	146	32	99
38	147	43	102
36	149	39	102
38	149	35	102
38	149	35	102
38	149	35	102
38	149	35	102
35	141	29	96
35	141	29	96
35	146	32	99
35	146	32	99
35	140	33	96
39	151	32	103
35	141	29	96
38	150	31	102
35	146	32	99
33	147	32	99
35	139	37	96
31	135	33	92
35	139	37	96
28	137	33	92
35	140	33	96
35	140	33	96
37	137	36	95
36	133	33	92
37	137	36	95
34	134	33	92
36	133	33	92
37	138	32	95
36	133	35	92
34	135	29	92
36	134	29	92
42	135	32	95
40	128	33	90
39	137	32	95
38	139	33	96
34	135	29	92
37	129	31	90
39	132	29	92
39	131	33	92
37	129	31	90
39	121	26	85
40	128	31	90
38	126	31	88
42	124	29	88
42	124	29	88
40	128	31	90
42	124	29	88
42	124	29	88
43	123	29	88
43	123	29	88
