3	19	54	18
5	26	64	24
5	28	65	25
5	25	68	23
5	26	64	24
5	25	68	23
5	26	64	24
0	19	62	18
5	25	68	23
9	23	72	24
9	24	68	24
7	26	76	26
5	25	68	23
0	19	62	18
5	26	64	24
10	24	73	25
5	24	74	24
5	24	74	24
5	24	74	24
5	24	72	23
5	25	79	25
5	25	79	25
6	25	75	25
5	24	83	25
10	24	75	25
6	23	83	24
10	29	90	30
5	23	89	25
6	25	84	26
3	27	86	26
10	30	84	30
10	30	84	30
6	23	83	24
6	23	85	24
7	23	90	25
6	22	89	24
5	24	85	25
11	25	102	29
9	31	100	32
9	31	100	32
6	22	98	25
9	28	114	32
5	31	104	31
7	28	104	30
10	26	102	29
10	25	108	29
5	31	104	31
9	30	106	32
3	29	102	29
10	25	108	29
10	27	98	30
9	30	106	32
6	22	98	25
10	26	102	29
5	31	106	31
9	28	114	32
9	32	124	35
3	26	118	29
5	28	124	32
8	33	124	35
5	28	120	31
5	28	120	31
13	32	120	36
8	33	124	35
13	32	120	36
13	31	124	36
9	27	120	32
10	31	135	36
10	32	133	36
9	32	135	36
10	31	139	37
13	34	154	41
10	33	140	38
5	26	134	32
10	32	133	36
11	33	134	37
14	31	133	37
14	30	139	37
13	36	143	41
9	32	139	37
10	31	139	37
9	31	143	37
10	33	140	38
13	36	143	41
9	29	142	35
8	28	153	36
10	31	135	36
15	29	148	38
6	37	151	40
3	34	151	38
7	35	140	38
7	35	140	38
10	31	135	36
10	31	135	36
9	32	139	37
7	34	144	38
9	32	139	37
9	32	139	37
13	34	151	41
13	40	150	44
9	30	150	37
9	30	150	37
6	37	154	41
7	33	151	38
9	40	154	43
10	31	148	38
10	29	159	38
3	33	155	37
7	34	144	38
3	34	151	38
6	37	151	40
3	33	155	37
9	30	150	37
13	44	161	48
10	30	155	38
16	36	161	44
10	36	154	41
9	39	161	43
9	38	165	43
6	35	162	40
6	35	164	41
13	36	171	44
13	37	167	44
10	34	164	41
13	33	158	41
13	32	164	41
10	34	164	41
6	33	172	40
13	38	161	44
13	36	171	44
13	39	154	44
6	35	162	40
6	35	164	41
10	33	168	41
10	34	164	41
